en,es,pt,fr,de,tr,title,speaker,duration,tags
"
","
","
","
","
","
",An electrifying acoustic guitar performance,Rodrigo y Gabriela,4:17,"music,live music,performance,guitar,entertainment"
"
											(Guitar music starts)
									","
											(Empieza música de guitarra)
									","
											(Música de guitarra)
									","
											(Début de la musique)
									","
											(Applaus)
									","
											(Gitar müziği başlar)
									",An electrifying acoustic guitar performance,Rodrigo y Gabriela,4:17,"music,live music,performance,guitar,entertainment"
"
","
","
","
","
","
",An electrifying acoustic guitar performance,Rodrigo y Gabriela,4:17,"music,live music,performance,guitar,entertainment"
"
											(Cheers)
									","
											(Vitoreo)
									","
											(Aplausos)
									","
											(Applaudissements)
									","
											(Gitarrenmusik beginnt)
									","
											(Alkışlar)
									",An electrifying acoustic guitar performance,Rodrigo y Gabriela,4:17,"music,live music,performance,guitar,entertainment"
"
","
","
","
","
","
",An electrifying acoustic guitar performance,Rodrigo y Gabriela,4:17,"music,live music,performance,guitar,entertainment"
"
											(Cheers)
									","
											(Vitoreo)
									","
											(Aplausos)
									","
											(Applaudissements et acclamations)
									","
											(Beifall)
											(Beifall)
									","
											(Alkışlar)
									",An electrifying acoustic guitar performance,Rodrigo y Gabriela,4:17,"music,live music,performance,guitar,entertainment"
"
","
","
","
","
","
",An electrifying acoustic guitar performance,Rodrigo y Gabriela,4:17,"music,live music,performance,guitar,entertainment"
"
											(Music ends)
									","
											(Termina la música)
									","
											(Fim da música)
											(Aplausos)
									","
											(Fin de la musique)
									","
											(Musik endet)
									","
											(Müzik biter)
									",An electrifying acoustic guitar performance,Rodrigo y Gabriela,4:17,"music,live music,performance,guitar,entertainment"
"
","
","
","
","
","
",An electrifying acoustic guitar performance,Rodrigo y Gabriela,4:17,"music,live music,performance,guitar,entertainment"
