en,tr,fr,title,speaker,duration,tags
"
","
","
",Every piece of art you've ever wanted to see — up close and searchable,Amit Sood,15:00,"beauty,big bang,collaboration,data,computers,machine learning,exploration,future,Google,innovation,history,Internet,library,museums,society,painting,technology,software,visualizations,world cultures,culture,art"
"
											So I'm going to go quite quick now.
											This object you see
behind me — oh, just clarification:
											Always, seeing the real thing is better.
											In case people think
I'm trying to replicate the real thing.
											So, moving on.
											This object you see behind me
is the Venus of Berekhat Ram.
											It's one of the oldest
objects in the world,
											found in the Golan Heights
around 233,000 years ago,
											and currently residing
at the Israel Museum in Jerusalem.
											It is also one of the oldest
objects on our platform.
									","
											Şimdi biraz çabuk ilerleyeceğim.
											Bu arkamda bulunan obje — 
Ah, yalnızca açıklamak için:
											Her zaman gerçeğini görmek daha iyidir.
											İnsanlar gerçeğini taklit etmeye 
çalıştığımı sanırlarsa diye.
											Neyse devam edelim.
											Bu arkamda gördüğünüz obje 
Berekhat Ram Venüsü.
											Bu dünyadaki en eski objelerden biri,
											Golan Tepeleri'nde 233.000 
sene önce bulundu
											ve şu an Kudüs'teki 
İsrail Müzesi'nde duruyor.
											Aynı zamanda platformumuzdaki 
en eski objelerden biri.
									","
											Et maintenant je vais vite.
											Ce que vous voyez derrière moi —
oh, clarifions :
											rien ne vaut de voir les choses en vrai.
											Au cas où on croirait
que j'essaie de reproduire la réalité.
											Passons.
											Ce que vous voyez derrière moi,
c'est la Venus de Berekhat Ram.
											Un des objets les plus anciens
au monde,
											déniché sur le plateau du Golan
il y a quelque 233 000 ans,
											qui réside actuellement
au musée d’Israël à Jérusalem.
											Et un des objets les plus anciens
de notre plateforme.
									",Every piece of art you've ever wanted to see — up close and searchable,Amit Sood,15:00,"beauty,big bang,collaboration,data,computers,machine learning,exploration,future,Google,innovation,history,Internet,library,museums,society,painting,technology,software,visualizations,world cultures,culture,art"
"
","
","
",Every piece of art you've ever wanted to see — up close and searchable,Amit Sood,15:00,"beauty,big bang,collaboration,data,computers,machine learning,exploration,future,Google,innovation,history,Internet,library,museums,society,painting,technology,software,visualizations,world cultures,culture,art"
"
											So let's zoom.
											We start from this one object.
											What if we zoomed out
											and actually tried to experience
our own cultural big bang?
											What might that look like?
											This is what we deal with on a daily basis
at the Cultural Institute —
											over six million cultural artifacts
curated and given to us by institutions,
											to actually make these connections.
											You can travel through time,
											you can understand more
about our society through these.
											You can look at it
from the perspective of our planet,
											and try to see how
it might look without borders,
											if we just organized art and culture.
											We can also then plot it by time,
											which obviously, for the data geek
in me, is very fascinating.
											You can spend hours
looking at every decade
											and the contributions
in that decade and in those years
											for art, history and cultures.
											We would love to spend hours
showing you each and every decade,
											but we don't have the time right now.
											So you can go on your phone
and actually do it yourself.
									","
											Haydi büyütelim.
											Bu objeden başlıyoruz.
											Uzaklaştırırsak ve esasen
											kendi kültürel büyük patlamamızı 
deneyimlemeye çalışırsak ne olur?
											Neye benzeyebilir?
											Bu Kültürel Enstitü'de her gün
uğraştığımız şey —
											aslında bu bağlantıları kurmamız için 
kurumlar tarafından seçilip bize verilen
											altı milyonun üzerinde kültürel eser.
											Bunlar sayesinde zaman içinde
											yolculuk yapabilirsiniz, toplumumuzu 
daha iyi anlayabilirsiniz.
											Eğer sadece sanat ve kültür 
açısından düzenlersek,
											gezegenimiz perspektifinden 
sınırlar olmadan nasıl
											görünebileceğine bakabilirsiniz.
											Aynı zamanda onu zaman 
ölçeğine koyabilirsiniz,
											ki bunun içimdeki veri kurdu için 
büyüleyici olduğu aşikâr.
											Her on yıla ve o yıllardaki 
sanat, tarih ve kültüre
											yapılan katkılara bakmak için
											saatler harcayabilirsiniz.
											Size her on yılı göstermek için 
saatler harcamak isterdik,
											ama şu an zamanımız yok.
											Telefonunuza bakıp 
kendiniz de yapabilirsiniz.
									","
											Alors mettons
											que nous commençons
avec cet objet.
											Et si nous le regardions de loin
											et essayions de vivre notre propre
Big Bang culturel ?
											À quoi cela ressemblerait-il ?
											Voici notre quotidien
à l'Institut culturel —
											plus de six millions d'artéfacts conservés
et partagés avec nous par les institutions
											afin de vraiment
faire ces connexions.
											On peut voyager
dans le temps
											et mieux comprendre
notre société.
											On peut tout observer
d'un point de vue planétaire
											pour voir à quoi ressemblerait
le monde sans frontières,
											si on organisait
l'art et la culture.
											On peut aussi aller
chronologiquement,
											ce qui forcément fascine
le mordu d'infos en moi.
											On peut passer des heures
à analyser chaque décennie
											et les contributions de cette décennie-là
et de ces années-là
											en termes d'art, d'histoire,
et de cultures.
											Nous aurions aimé passer des heures
à vous montrer chaque décennie,
											mais nous n'en aurons
pas le temps.
											Alors vous pouvez prendre votre
téléphone et le faire vous-même.
									",Every piece of art you've ever wanted to see — up close and searchable,Amit Sood,15:00,"beauty,big bang,collaboration,data,computers,machine learning,exploration,future,Google,innovation,history,Internet,library,museums,society,painting,technology,software,visualizations,world cultures,culture,art"
"
","
","
",Every piece of art you've ever wanted to see — up close and searchable,Amit Sood,15:00,"beauty,big bang,collaboration,data,computers,machine learning,exploration,future,Google,innovation,history,Internet,library,museums,society,painting,technology,software,visualizations,world cultures,culture,art"
"
											(Applause)
									","
											(Alkış)
									","
											(Applaudissements)
									",Every piece of art you've ever wanted to see — up close and searchable,Amit Sood,15:00,"beauty,big bang,collaboration,data,computers,machine learning,exploration,future,Google,innovation,history,Internet,library,museums,society,painting,technology,software,visualizations,world cultures,culture,art"
"
","
","
",Every piece of art you've ever wanted to see — up close and searchable,Amit Sood,15:00,"beauty,big bang,collaboration,data,computers,machine learning,exploration,future,Google,innovation,history,Internet,library,museums,society,painting,technology,software,visualizations,world cultures,culture,art"
"
											But if you don't mind
and can hold your applause till later,
											I don't want to run out of time,
											because I want to show you
a lot of cool stuff.
									","
											Ancak alkışınızı 
sonraya saklayabilirseniz,
											zaman harcamak istemiyorum,
											çünkü size bir sürü harika 
şey göstermek istiyorum.
									","
											Mais je vous prie de garder
vos applaudissements pour la fin,
											je ne veux pas
manquer de temps,
											car je veux partager
plein de choses géniales.
									",Every piece of art you've ever wanted to see — up close and searchable,Amit Sood,15:00,"beauty,big bang,collaboration,data,computers,machine learning,exploration,future,Google,innovation,history,Internet,library,museums,society,painting,technology,software,visualizations,world cultures,culture,art"
"
","
","
",Every piece of art you've ever wanted to see — up close and searchable,Amit Sood,15:00,"beauty,big bang,collaboration,data,computers,machine learning,exploration,future,Google,innovation,history,Internet,library,museums,society,painting,technology,software,visualizations,world cultures,culture,art"
"
											So, just very quickly:
											you can move on from here
to another very interesting idea.
											Beyond the pretty picture,
											beyond the nice visualization,
											what is the purpose, how is this useful?
											This next idea comes
from discussions with curators
											that we've been having at museums,
											who, by the way, I've fallen in love with,
											because they dedicate their whole life
to try to tell these stories.
											One of the curators told me,
""Amit, what would it be like
											if you could create
a virtual curator's table
											where all these six million objects
											are displayed in a way for us
to look at the connections between them?""
											You can spend a lot of time, trust me,
looking at different objects
											and understanding where they come from.
											It's a crazy Matrix experience.
									","
											O zaman çabucak:
											Buradan diğer bir ilginç 
fikre geçebilirsiniz.
											Güzel resimlerin,
											hoş görsellerin ötesinde
											amacı nedir, ne şekilde yararlı?
											Sonraki fikir müzelerde bulunan 
küratörlerle yapılan
											tartışmalardan ortaya çıktı,
											bu arada onlara âşık oldum,
											çünkü bu hikâyeleri anlatmaya 
çalışmak için tüm yaşamlarını adıyorlar.
											Küratörlerden biri şöyle dedi, 
""Amit, bu altı milyon objeyi
											aralarındaki bağlantılara 
bakacağımız şekilde
											sergilemek üzere
											sanal küratör masası 
yaratabilsen nasıl olurdu?""
											Bana güven, bu farklı objelere bakarak
nereden geldiklerini anlamak için
											bir sürü zaman harcayabilirsin.
											Çılgın bir Matris deneyimi.
									","
											Alors, très vite :
											on peut bouger de ce point
à une autre idée très intéressante.
											Au-delà de cette belle image,
											de cette belle visualisation,
											quel est le but ?
En quoi est-ce utile ?
											L'idée suivante sort
des discussions avec les conservateurs
											des musées
											et dont, en passant,
je suis tombé amoureux
											car ils dédient toute leur vie
à raconter ces histoires.
											Un conservateur m'a dit :
« Amit, qu'est-ce que cela donnerait
											si tu créais un tableau virtuel
pour conservateurs
											où tu afficherais
ces six millions d'objets
											de sorte que nous puissions les analyser
pour trouver les connexions ? »
											Croyez-moi — on peut passer beaucoup
temps à analyser différents objets
											et comprendre d'où ils viennent.
											On se serait cru dans Matrix.
									",Every piece of art you've ever wanted to see — up close and searchable,Amit Sood,15:00,"beauty,big bang,collaboration,data,computers,machine learning,exploration,future,Google,innovation,history,Internet,library,museums,society,painting,technology,software,visualizations,world cultures,culture,art"
