en,es,pt,tr,fr,title,speaker,duration,tags
"
","
","
","
","
",Can you solve the bridge riddle?,Alex Gendler,3:34,"creativity,design,animation,TED-Ed,math"
"
											Taking that internship 
in a remote mountain lab
											might not have been the best idea.
											Pulling that lever with the skull symbol
just to see what it did
											probably wasn't so smart, either,
											but now is not the time for regrets
											because you need to get away
from these mutant zombies fast.
											With you are the janitor, 
the lab assistant, and the old professor.
											You've gotten a headstart,
but there's only one way to safety:
											across an old rope bridge
spanning a massive gorge.
											You can dash across in a minute,
											while the lab assistant takes two minutes.
											The janitor is a bit slower
and needs five minutes,
											and the professor takes
a whole ten minutes,
											holding onto the ropes 
every step of the way.
											By the professor's calculations,
											the zombies will catch up to you
in just over 17 minutes,
											so you only have that much time
to get everyone across and cut the ropes.
											Unfortunately, the bridge can only hold
two people at a time.
											To make matters worse,
											it's so dark out that you can barely see,
											and the old lantern you grabbed on
your way only illuminates a tiny area.
											Can you figure out a way
to have everyone escape in time?
											Remember: no more than two people
can cross the bridge together,
											anyone crossing must either
hold the lantern or stay right next to it,
											and any of you can safely wait in the dark
on either side of the gorge.
											Most importantly, everyone must be
safely across before the zombies arrive.
											Otherwise, the first zombie could step on
the bridge while people are still on it.
											Finally, there are no tricks to use here.
											You can't swing across,
											use the bridge as a raft,
											or befriend the zombies.
											Pause the video now 
if you want to figure it out for yourself!
											Answer in: 3
											Answer in: 2
											Answer in: 1
											At first it might seem 
like no matter what you do,
											you're just a minute or two short of time,
but there is a way.
											The key is to minimize the time wasted
by the two slowest people
											by having them cross together.
											And because you'll need to make
a couple of return trips with the lantern,
											you'll want to have the fastest people
available to do so.
											So, you and the lab assistant quickly
run across with the lantern,
											though you have to slow down 
a bit to match her pace.
											After two minutes, both of you are across,
											and you, as the quickest, 
run back with the lantern.
											Only three minutes have passed.
											So far, so good.
											Now comes the hard part.
											The professor and the janitor take
the lantern and cross together.
											This takes them ten minutes
											since the janitor has to slow down 
for the old professor
											who keeps muttering
											that he probably shouldn't 
have given the zombies night vision.
											By the time they're across,
there are only four minutes left,
											and you're still stuck
on the wrong side of the bridge.
											But remember, the lab assistant
has been waiting on the other side,
											and she's the second fastest of the group.
											So she grabs the lantern 
from the professor
											and runs back across to you.
											Now with only two minutes left,
the two of you make the final crossing.
											As you step on the far side of the gorge,
											you cut the ropes 
and collapse the bridge behind you,
											just in the nick of time.
											Maybe next summer, 
you'll just stick to the library.
									","
											Ir de prácticas a un laboratorio
en plena montaña
											a lo mejor no fue la mejor idea.
											Tirar de la palanca marcada
con el símbolo de una calavera
											solo para ver qué pasa, probablemente
tampoco fue muy inteligente,
											pero ahora no es el momento
para lamentarse
											porque hay que alejarse rápidamente
de estos zombis mutantes.
											Te acompañan el portero, la asistente
de laboratorio y el viejo profesor.
											De momento juegas con ventaja, pero
hay solo un camino hacia la salvación:
											a través de un viejo puente de cuerda
por encima de un desfiladero inmenso.
											Puedes estar en el otro lado en un minuto,
											mientras que a la asistente de
laboratorio le hacen falta dos minutos.
											El portero es un poco más lento
y necesita cinco minutos,
											y el profesor necesita
un total de 10 minutos
											para aferrarse a las cuerdas
a cada paso en el camino.
											Según los cálculos del profesor,
											los zombis los alcanzarán
en poco más de 17 minutos,
											por lo que tienen solo este tiempo para
llegar al otro lado y cortar las cuerdas.
											Por desgracia, el puente solo puede
sostener a dos personas a la vez.
											Para empeorar las cosas,
											está tan oscuro que apenas se ve,
											y la vieja linterna que tomaron para el
camino, solo ilumina un área pequeña.
											¿Puedes encontrar la manera que 
le permita a todos escapar a tiempo?
											Recuerda: no más de dos personas
pueden cruzar el puente a la vez,
											y cualquiera que cruza debe sostener
la linterna o permanecer a su lado
											mientras que uno puede
esperar y estar seguro
											en la oscuridad de cada
lado del desfiladero.
											Lo más importante, todos
deben cruzar al otro lado
											antes de que lleguen los zombis.
											De lo contrario, el primer
zombi podría pisar el puente
											mientras que todavía haya gente en él.
											Por último, no hay trucos aquí.
											No puedes cruzar balanceándote,
											usar el puente como balsa
											ni hacerte amigo de los zombis.
											[Para el vídeo ahora si quieres 
descubrirlo por ti mismo]
											[Respuesta en: 3]
											[Respuesta en: 2]
											[Respuesta en: 1]
											Al principio podría parecer que 
independientemente de lo que hagas
											te faltan un minuto o dos,
pero hay una manera.
											La clave es reducir el tiempo perdido
por las dos personas más lentas
											haciendo que crucen juntas.
											Y porque se ha de hacer un par de 
viajes de regreso con la linterna,
											querrás tener a la gente
más rápida haciéndolo.
											Por lo tanto, tú y la
asistente de laboratorio
											cruzan rápidamente con la linterna,
											aunque tienes que frenar un poco
para mantener su ritmo.
											Los dos están
al otro lado en dos minutos,
											y tú, siendo el más rápido,
corres de vuelta con la linterna.
											Han pasado solo tres minutos.
											Hasta ahora, todo bien.
											Ahora viene la parte difícil.
											El profesor y el portero toman
la linterna y cruzan juntos.
											Esto los lleva 10 minutos
											ya que el portero tiene que reducir la
velocidad para acompañar al viejo profesor
											quien no para de murmurar
											que probablemente no debería haberles
dado visión nocturna a los zombis.
											Desde el momento en que han cruzado
solo quedan cuatro minutos hasta el final,
											y tú todavía estás en el lado
equivocado del puente.
											Pero recuerda, la asistente de laboratorio
ha estado esperando en el otro lado,
											y es la segunda más rápida del grupo.
											Así que agarra la linterna del profesor
											y corre de vuelta para rescatarte.
											Ahora, con solo 2 minutos hasta el final,
Uds. dos emprenden la travesía.
											En el momento que lleguen
al otro lado del desfiladero,
											cortan las cuerdas y el puente 
colapsa detrás de Uds.,
											justo en el último momento.
											Tal vez el verano que viene
se quedarán en la biblioteca.
									","
											Ir fazer um estágio num laboratório
numa montanha longínqua
											pode não ter sido a melhor ideia.
											Puxar a alavanca com o símbolo da caveira,
só para ver o que acontecia,
											talvez também não tenha sido
muito inteligente,
											mas agora é tarde demais para lamentações
											porque precisas é de fugir
dos zombies mutantes... e depressa!
											Contigo estão o porteiro, a assistente
do laboratório e o velho professor.
											Dispões de alguma vantagem,
mas só há um caminho para um lugar seguro:
											atravessar uma velha ponte de corda,
por cima dum desfiladeiro profundo.
											Tu consegues atravessar num minuto.
											A assistente do laboratório
demora dois minutos.
											O porteiro é um pouco mais lento
e precisa de cinco minutos.
											O professor demora dez minutos inteirinhos.
											É preciso agarrarem-se às cordas,
durante todo o caminho.
											Segundo os cálculos do professor,
											os zombies apanham-vos
dentro de 17 minutos.
											Por isso é só esse o tempo que têm
											para chegarem ao outro lado 
e cortarem as cordas.
											Infelizmente, a ponte só aguenta
duas pessoas de cada vez.
											Para piorar as coisas.
											está tão escuro que mal se vê,
											e a velha lanterna que apanhaste no caminho
só ilumina uma pequena área.
											És capaz de arranjar uma forma
de todos escaparem a tempo?
											Não te esqueças:
											só podem atravessar a ponte
duas pessoas ao mesmo tempo,
											quem atravessar tem que segurar
a lanterna ou ficar perto dela.
											Todos podem ficar, com segurança,
											na escuridão, de cada lado do desfiladeiro.
											O mais importante é que todos
têm que estar do outro lado,
											antes que os zombies apareçam.
											Senão, o primeiro zombie
pode avançar pela ponte,
											enquanto ainda lá estiver alguém.
											Por fim, aqui não há truques.
											Não podes saltar,
											nem usar a ponte como uma jangada,
											nem travar amizade com os zombies.
											[Suspende o vídeo agora, 
se queres descobrir sozinho]
											Resposta em: 3
											Resposta em: 2
											Resposta em: 1
											A princípio, pode parecer que,
faças o que fizeres.
											falta-te sempre um ou dois minutos,
mas há uma forma.
											A solução é minimizar o tempo gasto 
pelas duas pessoas mais lentas
											fazendo com que elas atravessem juntas.
											E como vais precisar de fazer duas viagens
de regresso com a lanterna,
											vais precisar da pessoa
mais rápida para isso.
											Portanto, tu e a assistente de laboratório
atravessam rapidamente com a lanterna,
											embora tu tenhas que abrandar um pouco,
para acompanhar o ritmo dela.
											Ao fim de dois minutos,
vocês os dois estão do outro lado
											e tu, como és o mais rápido,
voltas para trás com a lanterna.
											Só gastaram três minutos.
											Até aqui, tudo bem.
											Agora vem a parte mais difícil.
											O professor e o porteiro agarram
na lanterna e atravessam os dois.
											Isso demora dez minutos
											porque o porteiro tem que abrandar
por causa do velho professor,
											que vai resmungando que não devia
ter dado visão noturna aos zombies.
											Quando eles lá chegam,
só faltam quatro minutos
											e tu ainda estás preso 
do lado errado da ponte.
											Mas a assistente do laboratório
está à espera do outro lado,
											e é a segunda mais rápida do grupo.
											Portanto, ela agarra 
na lanterna do professor
											e volta a atravessar.
											Nos últimos dois minutos, 
vocês os dois fazem a travessia final.
											Quando chegas 
ao outro lado do desfiladeiro,
											cortas as cordas
e a ponte cai à tua frente,
											mesmo no último segundo.
											Provavelmente, no próximo ano,
vais contentar-te em ficar na biblioteca.
									","
											Bu stajyerliği uzak bir dağ
laboratuvarında
											yapmak iyi bir fikir olmayabilir.
											Sırf ne işe yaradığını öğrenmek için,
üzerinde kurukafa sembolü bulunan
											kolu çekmek de akıllıca değildir,
											fakat şu an pişmanlık zamanı değil
											çünkü, bu mutant zombilerden
hızlı bir şekilde kaçmanız gerekiyor.
											Yanınızda hademe, laboratuvar asistanı 
ve yaşlı bir profesör var.
											Siz avantajlısınız, fakat bu kaçışın
yalnızca bir yolu var:
											İki dağı birbirine bağlayan,
ipten yapılmış eski bir köprüyü geçmek.
											Laboratuvar asistanı iki dakikada
geçiyorken,
											siz hızla koşarak bir dakikada
geçebilirsiniz.
											Hademe biraz yavaş ve
ona beş dakika lazım
											ve profesörün geçmesi de,
her adımda iplere tutunduğu için
											tam on dakika sürüyor.
											Profesörün hesaplarına göre,
											zombiler size 17 dakikada yetişecekler,
											yani herkesi geçirmek ve köprünün iplerini
kesmek için 17 dakikanız var.
											Ne yazık ki, köprü bir seferde yalnızca
iki insanı taşıyabiliyor.
											Daha da kötüsü;
											etraf çok karanlık ve 
zar zor görebiliyorsunuz,
											yolda bulduğunuz eski fener de
küçük bir alanı aydınlatabiliyor.
											Bu sürede herkesi kurtarabilmenin
bir yolunu bulabildiniz mi?
											Unutmayın; köprüden bir seferde yalnızca
iki insan geçebiliyor,
											köprüden geçen kişi ya feneri tutmalı
ya da ona yakın durmalı,
											böylece herhangi birisi iki tarafta da
güvenli bir şekilde bekleyebilir.
											En önemlisi, zombiler gelmeden önce herkes
köprünün karşı tarafına geçmiş olmalı.
											Aksi takdirde, gelen ilk zombi de 
köprüye adım atabilir.
											Son olarak, burada herhangi bir hile
işe yaramaz.
											Karşıya sallanarak geçemezsiniz,
											köprüyü sal olarak
kullanamazsınız
											veya zombilerle arkadaş olamazsınız.
											Kendiniz çözmek istiyorsanız,
videoyu hemen durdurun!
											Cevap için geri sayım: 3
											2
											1
											İlk bakışta, ne yaparsanız yapın bir - iki
dakika geç
											kaldığınızı düşünüyorsunuz,
fakat bir çözümü var.
											Kilit nokta; iki en yavaş insanın birlikte
geçmelerini sağlayarak
											harcanan zamanı en az miktara düşürmek.
											Ayrıca, bir kişinin de birkaç kez 
fenerle birlikte geri dönmesi
											gerektiği için, bunu en hızlı insanın 
yapması gerekecek.
											Yani; siz ve laboratuvar asistanı köprüyü
hızlıca geçecek,
											hızına uyum sağlamak için de biraz
yavaşlamanız gerekecek.
											İki dakika sonra, ikiniz de karşıda
olacaksınız ve
											en hızlı siz olduğunuz için, fenerle
birlikte geri döneceksiniz.
											Yalnızca üç dakika oldu.
											Şimdilik fena değil.
											Şimdi, işin zor kısmı geliyor.
											Profesör ve hademe feneri alıp
birlikte karşıya geçiyorlar.
											Çünkü hademe, zombilere gece
											görüşü özelliği vermemesi gerektiğini 
söyleyip duran yaşlı profesöre
											uyum sağlamak için
											yavaşlaması gerek.
											Karşıya geçtiklerinde, son dört dakika
kalmış olacak
											ve siz hala köprünün riskli kısmında
duruyor olacaksınız.
											Ama hatırlayın, laboratuvar asistani karşı
tarafta bekliyor
											ve grubun ikinci hızlısı da o.
											Böylece, feneri profesörün elinden alıyor
											ve size doğru koşuyor.
											Kalan son iki dakikada da, son olarak
ikiniz karşıya geçiyorsunuz.
											Karşıya adımınızı atar atmaz,
											son saniyede ipleri kesiyor 

											ve köprüyü yıkıyorsunuz.
											Belki gelecek yaz kütüphaneden dışarı
adımınızı atmazsınız.
									","
											Accepter ce stage dans un labo isolé
sur cette montagne
											n'a sans doute pas été
votre meilleure idée.
											Tirer sur ce levier orné d'une tête
de mort juste pour voir à quoi il sert
											n'était probablement
pas très futé non plus,
											mais il n'est plus temps de se lamenter
											parce que vous devez déguerpir 
de cette zone grouillant de zombies.
											Le concierge, l'assistante de labo
et le vieux professeur sont avec vous.
											Vous avez une longueur d'avance,
mais il n'y a qu'un moyen de s'en tirer :
											passer par un vieux pont de corde
qui enjambe une gorge profonde.
											Vous pouvez le traverser en une minute,
											tandis que l'assistante de labo
met deux minutes.
											Le concierge est un peu plus lent,
et a besoin de 5 minutes,
											enfin il faut dix bonnes minutes
au professeur
											qui s'accroche aux cordages
à chaque pas.
											D'après les calculs du professeur,
											les zombies vont rattraperont 
dans 17 minutes au plus.
											C'est donc le temps dont vous disposez
pour faire passer tout le monde,
											et couper les cordes.
											Malheureusement, le pont ne peut supporter
que le poids de deux personnes à la fois.
											Pour rendre les choses
encore plus difficiles
											il fait si noir que vous y voyez à peine,
											et la lanterne que vous avez saisi
au passage éclaire une zone minuscule.
											Pourrez-vous trouver un moyen
de sauver tout le monde ?
											Notez bien : pas plus de deux personnes
ne peuvent traverser le pont ensemble,
											toute personne traversant doit
tenir la lanterne ou en être proche,
											et chacun peu attendre 
en sécurité dans le noir
											d'un côté ou de l'autre du pont.
											Et plus important, tout le monde doit
être passé avant l'arrivée des zombies.
											Autrement, le premier zombie pourrait
monter sur le pont avec des gens dessus.
											Enfin, il n'y a pas de truc ici.
											Vous ne pouvez pas
utiliser une liane,
											utiliser le pont comme un radeau,
											ou sympathiser avec les zombies.
											Mettez la vidéo en pause
si vous voulez trouver par vous-même !
											Réponse dans 3s
											Réponse dans 2s
											Réponse dans 1s
											Au début, on dirait que
quoi que vous fassiez,
											il vous manque toujours une ou
deux minutes. Mais il y a une solution.
											La clef est de minimiser le temps perdu 
par les deux personnes les plus lentes
											en les faisant traverser ensemble.
											Et parce qu'il vous faut effectuer
des allers-retours avec la lanterne,
											les plus rapides
doivent être disponibles.
											Donc, vous partez avec l'assistante
et traversez en courant avec la lanterne,
											bien que vous deviez ralentir un peu 
pour vous mettre à son allure.
											Au bout de 2 minutes, vous avez 
traversé tous les deux,
											et vous, le plus rapide, 
revenez avec la lanterne.
											3 minutes seulement se sont écoulées.
											Jusqu'ici, tout va bien.
											Maintenant vient la partie délicate.
											Le professeur et le concierge prennent 
la lanterne et traversent ensemble.
											Cela prend 10 minutes
											puisque le concierge doit ralentir
pour attendre le vieux professeur
											qui n'arrête pas de grommeler
											qu'il n'aurait pas dû doter
les zombies de la vision nocturne.
											Le temps qu'ils traversent, 
il ne reste plus que 4 minutes
											et vous êtes toujours planté 
du mauvais côté du pont.
											Mais rappelez-vous que l’assistante
attend de l'autre côté
											et que c'est la deuxième 
plus rapide du groupe.
											Elle attrape la lanterne
											et court à votre rencontre.
											Maintenant, vous parvenez à traverser
ensemble avec les deux minutes restantes.
											Dès que vous posez le pied
de l'autre côté,
											vous coupez les cordes
et le pont s'effondre derrière vous,
											juste à temps.
											Peut-être que l'été prochain, vous allez
vous cantonner à la bibliothèque.
									",Can you solve the bridge riddle?,Alex Gendler,3:34,"creativity,design,animation,TED-Ed,math"
"
","
","
","
","
",Can you solve the bridge riddle?,Alex Gendler,3:34,"creativity,design,animation,TED-Ed,math"
