fr,en,pt,es,tr,title,speaker,duration,tags
"
","
","
","
","
",Is space trying to kill us?,Ron Shaneyfelt,3:16,"TED-Ed,space,animation,universe,Planets,asteroid,humanity,Sun"
"
											Il y a encore beaucoup de choses 
concernant l'espace
											auxquelles nous ne pourrons peut-être jamais 
apporter de réponse,
											comme, le voyage dans le temps est-il possible ?
											Ou des extraterrestres vivent-ils 
quelque part ailleurs dans la Voie Lactée ?
											Mais il y a une chose que je crois 
concernant l'espace :
											L'espace tente de me tuer.
											L'espace n'en a pas après moi personnellement.
											Il tente également de vous tuer, 
vous et tout le monde.
											Pensez-y.
											L'espace n'a pas naturellement 
ce que nous avons besoin pour survivre
											quand nous y voyageons :
											pas d'air,
											il y fait trop chaud
											ou trop froid,
											pas d'ozone pour nous protéger 
des méchants rayons UV non plus.
											Tout cela sonne mal,
											mais qu'est-ce que l'espace peut 
vraiment me faire
											si je reste sur la Terre ?
											Ce que nous devons comprendre 
c'est que les objets dans l'espace
											peuvent amener des gens à penser 
que leurs jours sont comptés,
											même s'il y a des événements sur la Terre
											qui peuvent nous blesser ou nous tuer
											avant que quelque chose de l'espace ne le fasse.
											Alors, quelles sont les chances 
qu'un de ces objets
											affecte vraiment la Terre,
											vous
											et moi
											au cours de notre vie ?
											Eh bien, nous pouvons prendre 
ce que nous savons de l'univers
											pour tenter de le comprendre.
											Vous avez peut-être entendu des histoires
											d'astéroïdes frappant la Terre.
											Ça serait assez moche.
											Les scientifiques pensent que les astéroïdes 
pourraient avoir tué
											la plupart des dinosaures.
											Ça semble être une raison de s'inquiéter, non ?
											Eh bien, les astronomes peuvent maintenant 
regarder astéroïdes dans l'espace
											et les voir venir à l'aide 
de modèles informatiques complexes
											pour prévoir le trajet du caillou fatal.
											Pendant un certain temps, 
on rapportait que les chances
											que l'astéroïde Apophis 
frappe la terre en 2036
											étaient de 1 sur 625.
											Mais, après la mise à jour 
de leurs données,
											les astronomes disent maintenant 
que les chances sont extrêmement faibles.
											Bon, qu'en est-il du soleil ?
											Les films hollywoodiens 
aiment s'en prendre à notre soleil
											en montrant la terre détruite 
par des éruptions solaires
											ou le soleil en train de mourir,
											ce qui entraînerait la glaciation de la Terre.
											Les astronomes prédisent que notre soleil 
contient suffisamment de gaz
											pour produire de l'énergie 
pendant encore 3 à 5 milliards d'années.
											Ainsi, dans 3 à 5 milliards d'années,
											s'il y a encore des gens sur Terre,
											ils devront faire face à ça.
											Mais aujourd'hui
nous sommes en sécurité.
											Parfois, le soleil envoie bien 
des éruptions vers la Terre
											mais les champs magnétiques
qui entourent notre planète
											bloquent la plus grande partie 
de ce rayonnement.
											Le rayonnement qui passe à travers
											crée des choses 
comme les aurores boréales.
											De gigantesques éruptions solaires 
peuvent poser des problèmes à nos satellites
											et nos équipements électriques,
											mais les chances qu'elles vous tuent
sont assez minces.
											Bon, qu'en est-il de ce trou noir géant
											au centre de notre galaxie ?
											Qu'arrivera-t-il à la terre
											et nous,
											quand il nous attirera ?
											Après tout, il est géant.
											Non, ça n'arrivera pas.
											C'est un gros objet 
qui ne nous dérange pas.
											Comment pouvons-nous en être si sûrs ?
											Notre système solaire est 
sur le bord de la Voie Lactée
											alors que le trou noir géant le plus proche
											est à environ 
26 000 années-lumière de la Terre.
											Ça signifie que nous ne sommes pas 
au menu de ce trou noir.
											Alors, vous pensez toujours que les objets spatiaux 
essaient de vous tuer
											même après ce que je vous ai dit jusqu'à présent ?
											Je pense que je me suis même 
convaincu moi-même
											que les chances sont vraiment bonnes
											que l'espace et les objets qui s'y trouvent
											ne me tueront pas après tout.
											Mais je vais probablement 
continuer à regarder là-haut
											juste pour m'assurer que rien 
ne se dirige vers moi.
									","
											There are still lots of things about space
											that we may never be able to answer,
											like is time travel possible?
											Or are aliens living somewhere else in the Milky Way?
											But there is one thing I believe about space:
											Space is trying to kill me.
											Space isn't out to get me personally.
											It's also trying to kill you and everybody else.
											Think about it.
											Space doesn't naturally have what we need to survive
											when we travel there:
											no air,
											it's too hot
											or too cold,
											no ozone to protect us from those nasty UV rays, either.
											This all sounds bad,
											but what can space really do to me
											if I stay on Earth?
											What we need to understand is that objects in space
											can cause people to think their days are numbered,
											even when there are events on Earth
											that can hurt or kill us
											before something from space does.
											So, what are the odds that one of these objects
											will really affect Earth
											and you
											and me
											in our lifetime?
											Well, we can take what we know about the universe
											to try and figure that out.
											You might have heard stories
											about asteroids hitting the Earth.
											That would be pretty bad.
											Scientists think asteroids might have killed off
											most of the dinosaurs.
											Sounds like something we should worry about, right?
											Well, astronomers can now watch asteroids in space
											and see them coming using complex computer models
											to predict the deadly rock's path.
											For a while, the reported odds
											that asteroid Apophis would strike Earth in 2036
											were once 1 in 625.
											But, after updating their data,
											astronomers now say the chances are extremely low.
											Okay, what about the sun?
											Hollywood movies like to pick on our sun
											by showing Earth destroyed by solar flares
											or the sun dying out,
											which would cause Earth to freeze.
											Astronomers predict our sun contains enough gas
											to make energy for another 3 to 5 billion years.
											So, in 3 to 5 billion years,
											if people still exist on Earth,
											they'll have to deal with that.
											But today, well, we're safe.
											Sometimes the sun does shoot flares at Earth,
											but the magnetic fields surrounding our planet
											blocks most of that radiation.
											The radiation that does get through
											creates things like the Aurora Borealis.
											Gigantic solar flares can mess with our satellites
											and electrical equipment,
											but the chances of it killing you are pretty slim.
											Okay, what about that supermassive black hole
											in the middle of our galaxy?
											What happens to Earth,
											and us,
											when it pulls us in?
											After all, it is supermassive.
											Nope, not going to happen.
											That's one big object that can't bother us.
											How can we be so sure?
											Our solar system is on the edge of the Milky Way
											while the nearest supermassive black hole
											is about 26,000 light years from Earth.
											That means we aren't on that black hole's menu.
											So, you still think space objects are trying to kill you
											even after what I've told you so far?
											I think I've even convinced myself
											that odds are really good
											that space and the objects up there
											won't kill me after all.
											But I'll probably keep looking up
											just to make sure nothing is headed my way.
									","
											Há muitas coisas sobre o espaço
											que talvez nunca venham a ter resposta.
											Por exemplo,
é possível viajar no tempo?
											Ou há extraterrestres
a viver algures na Via Láctea?
											Mas acredito numa coisa:
											O espaço está a tentar matar-me.
											Não é pessoal...
											Também está a tentar matar toda a gente.
											Pensem nisto.
											O espaço não tem as mesmas coisas 
que temos para sobreviver
											quando viajamos por lá:
											não existe ar,
											está demasiado quente
											ou demasiado frio,
											nem existe ozono para nos proteger
daqueles malvados raios UV.
											Isto soa mal,
											mas que mal me pode o espaço fazer
											se eu ficar na Terra?
											Temos de perceber
que os objetos no espaço
											podem levar as pessoas a pensar
que têm os dias contados
											mesmo quando há eventos na Terra
											que nos podem magoar ou matar
											antes de qualquer coisa do espaço.
											Então, qual é a probabilidade
de um desses objetos
											realmente afetar a Terra
											a vocês e a mim
											durante a nossa vida?
											Bem, podemos pensar
no que sabemos sobre o universo
											para tentar perceber isto.
											Podem ter ouvido histórias
											sobre asteroides a atingir a Terra.
											Isso ia ser muito mau.
											Os cientistas pensam
que os asteroides podem ter matado
											a maior parte dos dinossauros.
											Parece algo com que
nos devêssemos preocupar, não é?
											Bem, os astrónomos
podem observar asteroides no espaço
											através de complexos modelos virtuais
de simulação
											para prever o percurso mortal da rocha.
											Durante uns tempos, a probabilidade
											de o asteroide Apophis
atingir a Terra em 2036
											era de 1 em 625.
											Mas depois de atualizar os dados
											os astrónomos podem afirmar
que a probabilidade é muito baixa.
											Ok, então e o sol?
											Os filmes de Hollywood
gostam de provocar o nosso sol
											ao mostrar a Terra
a ser destruída por explosões solares
											ou o sol a morrer,
											o que faria com que a Terra congelasse.
											Os astrónomos preveem
que o sol contenha gás suficiente
											para produzir energia
para outros 3 a 5 mil milhões de anos.
											Dentro de 3 ou 5 mil milhões de anos,
											se ainda existirem pessoas na Terra,
											terão de lidar com isso.
											Mas hoje, bem, estamos seguros.
											Às vezes existem explosões solares,
											mas os campos magnéticos
à volta do nosso planeta
											bloqueiam a maior parte da radiação.
											A radiação que passa
											cria coisas como a Aurora Boreal.
											As grandes explosões solares 
podem afetar os nossos satélites
											e equipamento elétrico,
											mas a probabilidade
de nos matar é muito baixa
											Ok, e aquele buraco negro supermaciço
											no meio da nossa galáxia?
											O que acontece à Terra e a nós
											quando nos sugar?
											Afinal de contas, é supermaciço.
											Não, não vai acontecer.
											Esse não nos vai chatear.
											Como podemos ter a certeza?
											O nosso sistema solar
está na borda da Via Láctea
											enquanto o buraco negro supermaciço
mais próximo
											está a cerca de 26 000 anos luz da Terra.
											Isto significa que não há
buracos negros à nossa procura.
											Ainda acham que os objetos do espaço
estão a tentar matar-vos?
											Mesmo depois do que vos disse até agora?
											Até me convenci a mim próprio
											de que é bem provável
											que o espaço e os objetos lá em cima
											afinal não me vão matar.
											Mas provavelmente
vou continuar a olhar para cima,
											para me certificar
de que não há nada a caminho.
									","
											Hay aún muchas cosas sobre el espacio
											que quizás nunca lleguemos a entender
											como, ¿es posible viajar en el tiempo?
											O, ¿hay extraterrestres en alguna
otra parte de la Vía Láctea?
											Pero hay algo que creo del espacio:
											está tratando de destruirme.
											No tiene nada personal contra mí.
											También trata de destruirte
a ti y a todos.
											Piénsalo.
											Naturalmente, el espacio no tiene
lo que necesitamos para sobrevivir
											cuando viajamos a él:
											no hay aire,
											hace demasiado calor
											o demasiado frío,
											y no hay una capa de ozono que nos proteja 
de los dañinos rayos ultravioletas.
											Todo esto suena desalentador
											pero, ¿qué me puede hacer el espacio
											si me quedo en la Tierra?
											Tenemos que entender que
los objetos en el espacio
											pueden hacernos creer que
nuestros días están contados,
											aún cuando en la Tierra hay eventos
											que pueden hacernos daño
o resultar fatales
											antes que lo haga algo
proveniente del espacio.
											Entonces, ¿cuál es la probabilidad 
de que algunos de estos objetos
											lleguen a afectar realmente a la Tierra,
											y a ti
											y a mí
											en el transcurso de nuestras vidas?
											Bueno, podemos usar
lo que sabemos del universo
											para tratar de entenderlo.
											A lo mejor has escuchado historias
											sobre asteroides que colisionan
con la Tierra.
											Eso sería muy peligroso.
											Los científicos piensan que quizás
los asteroides fueron los que exterminaron
											a la mayoría de los dinosaurios.
											Suena preocupante, ¿no?
											Pues ahora los astrónomos pueden observar
los asteroides en el espacio
											y ver cuando se aproximan, usando
complejos programas informáticos
											que predicen la trayectoria
del asteroide amenazante.
											Por un tiempo, se informó
que las probabilidades
											de que el asteroide Apofis 
colisionara con la Tierra en el 2036
											eran de 1 en 625.
											Pero después de revisar los cálculos
											los astrónomos dicen que las posibilidades 
son extremadamente bajas.
											Bien, pero, ¿qué hay del sol?
											A las películas de Hollywood les gusta
abordar los temas del sol
											y mostrar cómo la Tierra es destruida
por erupciones solares,
											o cómo la extinción del sol
											causaría el congelamiento de la Tierra.
											Los astrónomos predicen que
nuestro sol contiene suficiente gas
											para generar energía durante otros 
3 a 5 mil millones de años.
											Así que dentro de
3 o 5 mil millones de años,
											si aún quedan humanos en la Tierra,
											pues les tocará a ellos
lidiar con el problema.
											Pero hoy estamos a salvo.
											A veces las erupciones solares
son expulsadas en dirección a la Tierra,
											pero los campos magnéticos
que rodean al planeta
											bloquean la mayor parte de las radiaciones.
											Las radiaciones que logran traspasar
											crean fenómenos como la Aurora Boreal.
											Las erupciones solares gigantes
pueden afectar nuestros satélites
											y equipos electrónicos,
											pero las posibilidades de que
nos destruyan, son mínimas.
											Bien, ¿y qué hay de ese
gigantesco agujero negro
											en el medio de nuestra galaxia?
											¿Qué le pasaría a la Tierra,
											y a nosotros,
											si fuésemos absorbidos por él?
											Después de todo, es gigantesco.
											Pues no, eso no pasará.
											Ese es un gran objeto
que no debe preocuparnos.
											¿Cómo podemos estar tan seguros?
											Nuestro sistema solar está localizado
en los límites de la Vía Láctea,
											mientras que el gigantesco
agujero negro más cercano
											está aproximadamente a 26 000
años luz de la Tierra.
											Eso quiere decir que no estamos
en el menú de ese agujero negro.
											Ahora, ¿aún piensas que los objetos
en el espacio están tratando de destruirte
											después de todo lo que te he contado?
											Creo que hasta me he convencido a mí mismo
											de que hay una gran posibilidad
											de que el espacio y los objetos en él
											no llegarán a destruirme
después de todo.
											Aunque probablemente
siga mirando hacia arriba
											solo para asegurarme que
no viene nada en camino.
									","
											Uzay hakkında cevaplamamızın belki de
											hiçbir zaman mümkün 
olmayacağı şeyler var.
											Mesela zaman yolculuğu mümkün mü?
											Ya da Samanyolu’nda bir yerde 
yaşayan uzaylılar var mı?
											Ama uzay hakkında inandığım bir şey var:
											Uzay, beni öldürmeye çalışıyor.
											Bizzat benimle derdi yok.
											Ayrıca sizi ve diğer herkesi de 
öldürmeye çalışıyor.
											Bunu bir düşünün.
											Oraya gittiğimizde hayatta kalmak için
											ihtiyacımız olacak şeylere 
doğal yollardan sahip değiliz:
											havasız,
											çok sıcak
											ya da çok soğuk,
											bizi pis UV ışınlarından 
koruyacak ozon da yok.
											Bunların hepsi kulağa kötü geliyor
											ama ben Dünya'da kalırsam
											bana ne yapabilir ki?
											Anlamamız gereken şey uzaydaki cisimler
											insanların, günlerinin sayılı olduğunu
düşünmesine neden olabilir.
											Dünya'da uzaydaki bir şeyden önce
											bizi yaralayabilecek ya da öldürebilecek
											olaylar yaşanmasına rağmen.
											Yani bu cisimlerden birinin 
yaşam süremiz boyunca
											Dünya'yı,
											sizi
											ya da beni
											etkileme ihtimali ne?
											Bunu anlamaya çalışmak için
											evren hakkında 
bildiklerimizi ele alabiliriz.
											Dünya'ya çarpan asteroitler hakkında
hikayeler duymuş olabilirsiniz.
											Bu, oldukça kötü olmalı.
											Bilim insanları asteroitlerin
											dinozorların çoğunu 
öldürmüş olabileceğini düşünüyor.
											Endişelenmemiz gereken 
bir şey gibi, değil mi?
											Artık gökbilimciler 
uzaydaki asteroitleri izleyebilir
											ve karmaşık bilgisayar 
modelleriyle gelişlerini görerek
											ölümcül kayanın yolunu tahmin edebilir.
											Bir süre, raporlarda Apophis asteroitinin 
2036'da Dünya'ya çarpma ihtimali
											625'te 1 olarak belirlendi.
											Ama verilerin güncellenmesinden sonra
											artık gökbilimciler ihtimallerin 
oldukça düşük olduğunu söylüyor.
											Tamam, peki ya Güneş?
											Hollywood filmleri Güneş'le uğraşmaktan;
											Dünya'nın Güneş patlamasıyla mahvolmasını
											ya da Güneş'in tükenip Dünya'nın 
donmasını göstermekten hoşlanıyor.
											Gökbilimciler, 
Güneş'in 3 ile 5 milyar yıl daha
											enerji üretecek kadar
gaz içerdiğini tahmin ediyor.
											Yani 3 ile 5 milyar yıl içinde
											eğer insanlar hala dünyada olursa
											bununla uğraşmaları gerekecek.
											Ama şu anda güvendeyiz.
											Bazen Güneş'ten 
Dünya'ya yüklü parçacıklar gelir.
											Ama gezegenimizi saran manyetik alanlar
											radyasyonun çoğunu engeller.
											Geçen radyasyonlar ise
											""Kutup ışıkları"" gibi şeyler oluşturur.
											Devasa Güneş patlamaları
											uydularımızı ya da elektrik 
ekipmanlarımızı karıştırabilir.
											Ama sizi öldürme ihtimalleri 
oldukça zayıftır.
											Tamam, peki ya galaksimizin ortasındaki
											süper kütleli kara delik?
											Dünya'yı
											ve bizi,
											hepimizi içine çektiğinde ne olacak?
											Ne de olsa oldukça büyük.
											Hayır, bu olmayacak.
											Bu, bizi endişelendirmeyen koca bir cisim.
											Nasıl bu kadar emin olabiliriz?
											Güneş sistemimiz 
Samanyolu'nun kenarındayken
											en yakın süper kütleli kara delik
											Dünya'dan 26.000 ışık yılı uzakta.
											Bu, kara deliğin menüsünde 
olmadığımız anlamına geliyor.
											Şimdiye kadar söylediklerimden sonra
											hâlâ uzay cisimlerinin sizi öldürmeye 
çalıştığını düşünüyor musunuz?
											Bence kendimi bile ikna ettim.
											Uzay ve oradaki cisimler 
her şeye rağmen beni öldürmeyecek.
											Ama muhtemelen 
bakınmaya devam edeceğim.
											Sadece yoluma hiçbir şeyin 
çıkmayacağından emin olmak için.
									",Is space trying to kill us?,Ron Shaneyfelt,3:16,"TED-Ed,space,animation,universe,Planets,asteroid,humanity,Sun"
"
","
","
","
","
",Is space trying to kill us?,Ron Shaneyfelt,3:16,"TED-Ed,space,animation,universe,Planets,asteroid,humanity,Sun"
