es,pt,tr,fr,title,speaker,duration,tags
"
","
","
","
",5 ways to kill your dreams,Bel Pesce,6:11,"TED Fellows,entrepreneur,innovation,life"
"
											Cuarto consejo, y es 
realmente importante:
											Creer que la culpa es de otro.
											Todo el tiempo veo gente que dice:
											""Sí, tuve esta gran idea, pero no había 
inversores con la visión para invertir"".
											""Creé este gran producto,
											pero el mercado estaba tan mal,
las ventas no iban bien"".
											O, ""No encuentro talentos; mi equipo 
no reúne las expectativas mínimas"".
											Si tienen sueños,
											es su responsabilidad hacerlos realidad.
											Sí, puede que sea difícil 
encontrar talento.
											Sí, puede que el mercado sea malo.
											Pero si nadie invierte en nuestra idea,
											si nadie compra nuestro producto,
											seguro que el error de algo 
de eso es propio.
											(Risas)
											Sin duda.
											Uno tiene que soñar
y hacer el sueño realidad.
											Y nadie logra sus metas solo.
											Pero si uno no hace que suceda,
la culpa es propia y de nadie más.
											Sean responsables de sus sueños.
									","
											Quarta dica, e que é realmente importante:
											Acreditar que o erro é dos outros.
											Ouço constantemente as pessoas a dizer:
											""Sim, tive uma ótima ideia, mas nenhum
investidor teve visão para investir"".
											""Oh, criei um produto fantástico,
											""mas o mercado está tão mau,
que as vendas não correram bem.""
											Ou: ""Não consigo encontrar talentos;
a minha equipa deixa muito a desejar.""
											Se tiverem sonhos,
											é vossa responsabilidade
fazê-los acontecer.
											Sim, pode ser difícil encontrar talento.
											Sim, o mercado pode estar mau.
											Mas se ninguém investiu na vossa ideia,
											se ninguém comprou o vosso produto,
											de certeza que há aí alguma coisa
por vossa culpa.
											(Risos)
											De certeza.
											Vocês têm de pegar nos vossos sonhos
e fazer com que aconteçam.
											Nunca ninguém alcançou
os seus objetivos sozinho.
											Mas se não os fizerem acontecer,
a culpa é vossa e de mais ninguém.
											Sejam responsáveis pelos vossos sonhos.
									","
											Dördüncü ipucu ve bu
gerçekten önemli:
											Hatanın başkasına ait
olduğuna inanın.
											Sık sık insanların şöyle
dediğini duyabiliyorum,
											""Evet, çok harika bir fikrim vardı
ama hiçbir yatırımcıda yatırım yapmak
											için gerekli sağduyu yoktu.""
""Bu harika ürünü yarattım
											ama pazar çok kötüydü,
satışlar iyi gitmedi.""
											ya da ""Yetenekli birisini bulamadım;
takımım beklentilerimi karşılayamıyor.""
											Eğer hayalleriniz varsa,
											onları gerçekleştirmek
sizin sorumluluğunuzdur.
											Evet, yetenekli birini
bulmak zor olabilir.
											Evet, pazar kötü 
olabilir.
											Ama eğer kimse fikrinize
yatırım yapmıyorsa,
											kimse ürününüzü satın
almıyorsa,
											emin olun ki hatanın size ait
olduğu bir yer var.
											(Kahkahalar)
											Kesinlikle.
											Hayallerinizi alıp onları gerçekleştirmek
zorundasınız.
											Hiç kimse yalnız başına
hedeflerine ulaşamaz.
											Ama onları gerçekleştiremezseniz,
hata kimsenin değil, sizindir.
											Hayalleriniz için sorumluluğu üstlenin.
									","
											Quatrième conseil, très important :
											croire que c'est la faute
de quelqu'un d'autre.
											J'entends tous les jours des gens dire :
											« j'ai une idée géniale 
mais personne ne veut investir dedans. »
											« J'avais créé un produit génial,
											mais le marché est si mauvais, 
les ventes ne suivaient pas. »
											Ou bien : « je ne trouve aucun talent, 
mon équipe est sous-performante. »
											Si vous avez des rêves,
											il est de votre responsabilité
de les concrétiser.
											Oui, c'est dur de trouver des talents.
											Oui, les marchés sont en crise.
											Mais si personne n'investit
dans votre idée,
											si personne n'achète votre produit,
											c'est sûrement aussi de votre faute.
											(Rires)
											Sûrement.
											Vous devez réussir 
à concrétiser vos rêves.
											Et personne ne réussit tout seul.
											Mais si vous n'y arrivez pas, 
c'est de votre faute et personne d'autre.
											Prenez la responsabilité de vos rêves.
									",5 ways to kill your dreams,Bel Pesce,6:11,"TED Fellows,entrepreneur,innovation,life"
"
","
","
","
",5 ways to kill your dreams,Bel Pesce,6:11,"TED Fellows,entrepreneur,innovation,life"
"
											Último consejo, y este 
es muy importante también:
											Creer que lo único que importa
son los sueños en sí.
											Una vez vi un anuncio,
había un montón de amigos,
											escalaban una montaña,
era una montaña muy alta,
											todo era muy arduo.
											Podía verse que transpiraban
y que era algo difícil.
											Iban subiendo, hasta que 
finalmente llegaron a la cima.
											Claro, celebraron, ¿no?
											Vamos a celebrar:
											""¡Sí, lo logramos, estamos en la cima!""
											Dos segundos después, se miran 
unos a otros y uno dice:
											""Bueno, bajemos"".
											(Risas)
									","
											E uma última dica, e esta é também
muito importante:
											Acreditar que as únicas coisas que
interessam são os próprios sonhos.
											Uma vez vi um anúncio,
era uma data de amigos,
											estavam a subir uma montanha 
— era uma montanha muito alta —
											e era uma carga de trabalhos.
											Víamos que eles estavam a suar
e que era um esforço árduo.
											Eles estavam a subir,
e eles finalmente alcançaram o topo.
											Claro que eles decidiram celebrar.
											Vou celebrar, por isso:
											""Sim! Conseguimos, estamos no topo!""
											Dois segundos mais tarde,
um olha para o outro e diz:
											""Ok, vamos descer.""
											(Risos)
									","
											Ve son bir ipucu,
bu da çok önemli:
											Önemli olan tek şeyin
hayallerinizin kendisi olduğuna inanın.
											Bir keresinde bir reklam gördüm,
bir arkadaş grubu vardı,
											bir dağa tırmanıyorladı,
çok yüksek bir dağa
											ve çok sıkı çalışmaları gerekiyordu.
											Terlediklerini ve bunun
çok zor olduğunu görebiliyorsunuz.
											Yukarı çıkıyorlardı ve sonunda
zirveye ulaştılar.
											Tabiki, bunu kutlamaya karar
verdiler, değil mi ?
											Ben de kutlayacağım.
											""Evet ! Başardık, zirvedeyiz!""
											İki saniye sonra, biri diğerine
bakar ve der ki,
											""Tamam, hadi
aşağı inelim.""
											(Kahkahalar)
									","
											Un dernier conseil, très important aussi :
											croire que la seule chose importante 
est le rêve en lui-même.
											Un jour, j'ai vu une publicité, 
c'était un groupe d'amis,
											ils escaladaient une montagne, 
une montagne très haute,
											et c'était très difficile.
											On pouvait les voir transpirer, 
c'était vraiment difficile.
											Ils grimpaient puis atteignaient
enfin le sommet.
											Ils décidaient donc de fêter ça.
											Je vais fêter ça, et donc,
											« Oui ! On a réussi,
on est arrivé au sommet ! »
											Deux secondes plus tard,
ils se regardent et l'un dit,
											« Bon, on peut redescendre. »
											(Rires)
									",5 ways to kill your dreams,Bel Pesce,6:11,"TED Fellows,entrepreneur,innovation,life"
"
","
","
","
",5 ways to kill your dreams,Bel Pesce,6:11,"TED Fellows,entrepreneur,innovation,life"
"
											La vida no tiene que ver 
con las metas en sí.
											La vida es el viaje.
											Sí, uno debería disfrutar
las metas en sí,
											pero se suele pensar los sueños
											como algo que uno persigue
y que cuando los alcanza,
											llega a un lugar mágico 
que es garantía de felicidad.
											Pero cumplir un sueño
es una sensación momentánea
											y la vida no lo es.
											La única manera de realmente
cumplir todos los sueños
											es disfrutando cada paso del viaje.
											Esa es la mejor manera.
									","
											A vida nunca é acerca dos objetivos
propriamente ditos.
											A vida é acerca do percurso.
											Sim, devemos desfrutar
dos objetivos em si,
											mas as pessoas pensam que
temos sonhos
											e sempre que alcançamos
um desses sonhos
											passamos a estar num lugar mágico
onde reina a felicidade.
											Mas concretizar um sonho
é uma sensação momentânea
											e a nossa vida não o é.
											A única forma de realmente concretizar
todos os nossos sonhos
											é desfrutar plenamente de cada passo
do nosso percurso.
											É a melhor maneira.
									","
											Hayat, hedeflerin kendisi değildir.
											Hayat, yolculuktur.
											Evet, hedeflerinizin
kendisinden zevk almalısınız
											ama insanlar hayallerinizin
olduğunu düşünür
											ve ne zaman onlardan
birine ulaşacak olsanız,
											dört köşesinde mutluluğun olduğu,
büyülü bir yerde olursunuz.
											Ama bir hayale ulaşmak
geçici bir duygudur
											ve hayatınız geçici değildir.
											Hayallerinizin hepsine 
ulaşabilmenizin tek yolu
											yolculuğunuzun her adımından
bütünüyle zevk almaktır.
											Bu en iyi yol.
									","
											La vie ne s'arrête pas à l'objectif final.
											La vie,
c'est surtout le chemin que l'on parcoure.
											Oui, appréciez l'objectif,
											mais les gens pensent 
que vous avez des rêves,
											et qu'en concrétisant l'un d'eux,
											vous arrivez dans cet endroit magique
où règne le bonheur.
											Alors que concrétiser un rêve,
c'est une sensation momentanée,
											et votre vie ne l'est pas.
											Le seul moyen 
de vraiment réaliser tous vos rêves,
											c'est de réellement apprécier 
chaque étape de votre voyage.
											C'est le meilleur moyen.
									",5 ways to kill your dreams,Bel Pesce,6:11,"TED Fellows,entrepreneur,innovation,life"
"
","
","
","
",5 ways to kill your dreams,Bel Pesce,6:11,"TED Fellows,entrepreneur,innovation,life"
"
											Y el viaje es simple...
se compone de pasos.
											Algunos pasos serán directos.
											A veces uno tropezará.
											Si es directo, a festejar, porque 
algunos esperan mucho para celebrar.
											Y si tropezamos, transformemos
eso en aprendizaje.
											Si cada paso se vuelve algo
para aprender o para celebrar,
											sin dudas disfrutaremos el viaje.
									","
											E o nosso percurso é simples
— é feito de passos.
											Alguns passos serão acertados.
											às vezes vamos tropeçar.
											Se forem acertados, celebrem, porque
há quem espere muito para o fazer.
											E se tropeçarem, transformem
a experiência em aprendizagem.
											Se cada passo se tornar algo
para aprender ou algo para celebrar
											vocês vão com certeza apreciar o percurso.
									","
											Yolculuğunuz basit.
Adım adım bir yol.
											Bazı adımlar dosdoğru atılır.
											Bazen de ayağınız takılır.
											Eğer adım dosdoğru atılmışsa, kutlayın
çünkü bazıları kutlamak için fazla bekler.
											Ve eğer takılmışsanız, bunu ders 
alınacak bir şeye dönüştürün.
											Eğer her adım öğrenecek ya da kutlanacak
bir şeye dönüşürse,
											kesinlikle bu yolculuktan zevk alırsınız.
									","
											Votre voyage est simple,
il est fait d'étapes.
											Certaines seront parfaites.
											D'autres vous feront tomber.
											Celles qui sont parfaites,
fêtez-les.
											Parce que certains attendent longtemps
pour les célébrer.
											Si vous tombez,
faites-en un apprentissage.
											Si à chaque étape, vous avez
quelque chose à fêter ou à apprendre,
											vous serez sûr d'apprécier le voyage.
									",5 ways to kill your dreams,Bel Pesce,6:11,"TED Fellows,entrepreneur,innovation,life"
"
","
","
","
",5 ways to kill your dreams,Bel Pesce,6:11,"TED Fellows,entrepreneur,innovation,life"
"
											Son cinco consejos:
											Creer en el éxito repentino,
											creer que otra persona tiene 
la respuesta para nosotros,
											creer que si el crecimiento está 
garantizado, es hora de asentarse,
											creer que la culpa es de otro,
											y creer que solo importan
las metas en sí.
											Créanme, si lo hacen, 
destruirán sus sueños.
											(Risas)
									","
											Portanto, cinco dicas:
											Acreditar no sucesso instantâneo;
											Acreditar que alguém
tem respostas para dar;
											Acreditar que quando o crescimento estiver
garantido, podemos acomodar-nos;
											Acreditar que o erro é dos outros;
e...
											Acreditar que apenas os próprios
objetivos importam.
											Acreditem-me, se o fizerem,
vão destruir os vossos sonhos.
											(Risos)
									","
											Beş ipucu:
											Tek gecelik başarıya inan,
											başka birisinin size yardımcı
olabileceğine inanın,
											ilerleme kaçınılmazsa,
sabit kalabileceğinize inanın,
											hatanın başkasına ait
olduğuna inanın
											ve önemli olanın sadece
hedeflerinizin kendisi olduğuna inanın.
											Bana inanın, böyle yaparsanız,
hayallerinizi mahvedeceksiniz.
											(Kahkahalar)
									","
											Donc, cinq conseils :
											croyez au succès instantané,
											pensez que quelqu'un d'autre
a les réponses pour vous,
											que quand la croissance est assurée,
vous devriez vous reposer,
											que c'est toujours la faute 
de quelqu'un d'autre,
											et que la seule chose qui compte
est l'objectif en lui-même.
											Suivez ces conseils,
et vous serez sûrs de détruire vos rêves.
											(Rires)
									",5 ways to kill your dreams,Bel Pesce,6:11,"TED Fellows,entrepreneur,innovation,life"
"
","
","
","
",5 ways to kill your dreams,Bel Pesce,6:11,"TED Fellows,entrepreneur,innovation,life"
"
											(Aplausos)
									","
											(Aplausos)
									","
											(Alkışlar)
									","
											(Applaudissements)
									",5 ways to kill your dreams,Bel Pesce,6:11,"TED Fellows,entrepreneur,innovation,life"
"
","
","
","
",5 ways to kill your dreams,Bel Pesce,6:11,"TED Fellows,entrepreneur,innovation,life"
"
											Gracias.
									","
											Obrigada.
									","
											Teşekkürler.
									","
											Merci.
									",5 ways to kill your dreams,Bel Pesce,6:11,"TED Fellows,entrepreneur,innovation,life"
"
","
","
","
",5 ways to kill your dreams,Bel Pesce,6:11,"TED Fellows,entrepreneur,innovation,life"
