fr,en,es,title,speaker,duration,tags
"
","
","
",What on Earth is spin?,Brian Jones,3:41,"TED-Ed,space,animation,universe,physics,Planets,science"
"
											La prochaine fois que vous verrez
un reportage sur un ouragan
											ou une tempête tropicale
											qui montre de grands vents frappant
des arbres et des maisons,
											posez-vous la question suivante, 
« Comment le vent peut-il aller si vite ? »
											C'est assez étonnant, mais
c'est un mouvement qui a commencé
											il y a plus de 5 milliards années.
											Mais, pour comprendre pourquoi, 
nous devons comprendre ce qu'est la rotation.
											En physique, on parle 
de deux types de mouvement.
											Le premier est le mouvement rectiligne.
											Vous appuyez sur une chose, 
et elle se déplace vers l'avant.
											Le second type, la rotation, 
implique que l'objet tourne
											ou tourne sur son axe sur place.
											Un objet en mouvement rectiligne 
se déplacera indéfiniment
											à moins que quelque chose,
											comme le frottement du sol situé en dessous,
											le fasse ralentir et s'arrêter.
											La même chose arrive quand 
vous faites tourner une chose.
											Elle va continuer à tourner 
jusqu'à ce que quelque chose l'arrête.
											Mais la rotation peut accélérer.
											Si une patineuse glisse sur la glace
											dans un mouvement rectiligne 
et elle ramène ses bras,
											elle continue à glisser
à la même vitesse.
											Mais si elle est en rotation sur la glace
											et elle ramène ses bras
											vous savez ce qui va se passer.
											Elle tourne plus rapidement.
											C'est ce qu'on appelle 
la conservation du moment angulaire.
											Mathématiquement, le moment angulaire 
est un produit de deux nombres,
											celui qui donne la vitesse de rotation
											et celui qui donne la distance 
de la masse par rapport à l'axe.
											Si quelque chose tourne librement
											alors un chiffre grandit,
											l'autre devient plus petit.
											Les bras plus près, 
la rotation est plus rapide.
											Les bras plus loin, 
la rotation est plus lente.
											La rotation provoque aussi d'autres effets.
											Si vous faites un tour
sur un manège qui tourne
											et vous lancez un ballon à un ami,
											il semblera suivre 
une trajectoire incurvée.
											Mais ce n'est pas vraiment une courbe.
											En fait, il va en ligne droite.
											C'est vous qui suiviez 
une trajectoire incurvée,
											mais, de votre point de vue,
											le ballon semble suivre une courbe.
											Nous appelons cela l'effet de Coriolis.
											Oh, et là, vous faites un tour 
sur un manège qui va très vite,
											en ce moment même.
											On l'appelle la Terre.
											La terre tourne sur son axe 
une fois par jour.
											Mais pourquoi la Terre tourne-t-elle ?
											C'est une histoire 
qui commence il y a des milliards d'années.
											Un nuage de poussière
et de gaz qui forme
											le Soleil, la Terre et les planètes,
											et vous et moi,
											a commencé à s'effondrer 
quand la gravité a tout attiré ensemble.
											Avant de commencer à s'effondrer,
											ce nuage tournait doucement.
											Et, quand il s'est effondré,
											comme cette patineuse tirant 
ses bras vers elle,
											la rotation s'est accélérée de plus en plus.
											Et tout ce qui s'est formé 
à partir du nuage,
											le Soleil
											et les planètes autour du Soleil,
											les lunes autour des planètes,
											tous ont hérité de cette rotation.
											Et cette rotation héritée, 
c'est ce qui nous donne le jour et la nuit.
											Et ce cycle jour / nuit, 
c'est ce qui cause notre météo.
											La Terre est chaude 
sur le côté de la journée,
											froide du côté nocturne,
											et il fait plus chaud à l'Équateur 
qu'aux pôles.
											Les différences de température
											créent des différences de pression de l'air,
											et les différences de pression d'air
											font bouger l'air.
											Ils font souffler le vent.
											Mais, parce que la Terre tourne,
											l'air se déplace sur une courbe
vers la droite
											dans l'hémisphère Nord
											en raison de l'effet de Coriolis.
											S'il y a une région de basse pression 
dans l'atmosphère,
											l'air est poussé vers elle,
											comme l'eau qui passe 
par un tuyau d'évacuation.
											Mais l'air suit une courbe vers la droite
quand il circule,
											et ça lui donne une rotation.
											Avec la pression terriblement basse
dans une tempête,
											l'air est attiré dans une rotation 
de plus en plus serrée,
											il va donc de plus en plus vite,
											et c'est comme ça que nous avons
les grands vents d'un ouragan.
											Alors, quand vous verrez une tempête 
tourbillonnante dans un bulletin météorologique,
											pensez à ceci :
											la rotation est venue en fin de compte 
de la rotation de la Terre,
											et la rotation de la Terre est un vestige,
											un fossile,
											de la rotation lente 
du nuage de poussière et de gaz
											qui s'est effondré pour créer la Terre
											il y a quelques 5 milliards d'années.
											Vous regardez quelque chose, la rotation,
											qui est plus vieille que la poussière,
											plus vieille que les roches,
											plus vieille que la Terre elle-même.
									","
											The next time you see a news report of a hurricane
											or a tropical storm
											showing high winds battering trees and houses,
											ask yourself, ""How did the wind get going so fast?""
											Amazingly enough, this is a motion that started
											more than five billion years ago.
											But, to understand why, we need to understand spin.
											In physics, we talk about two types of motion.
											The first is straight-line motion.
											You push on something, and it moves forward.
											The second type, spin, involves an object rotating,
											or turning on its axis in place.
											An object in straight-line motion will move forever
											unless something,
											like the friction of the ground beneath it,
											causes it to slow down and stop.
											The same thing happens when you get something spinning.
											It will keep on spinning until something stops it.
											But the spin can speed up.
											If an ice skater is gliding across the ice
											in straight-line motion and she pulls her arms in,
											she keeps on gliding at the same speed.
											But if she is spinning on the ice
											and she pulls her arms in,
											you know what happens next.
											She spins faster.
											This is called the conservation of angular momentum.
											Mathematically, angular momentum is a product of two numbers,
											one that gives the spin rate
											and one that gives the distance of the mass from the axis.
											If something is freely spinning,
											as one number gets bigger,
											the other gets smaller.
											Arms closer, spin faster.
											Arms farther, spin slower.
											Spin causes other effects, too.
											If you are riding on a spinning merry-go-round
											and you toss a ball to a friend,
											it will appear to follow a curving path.
											It doesn't actually curve, though.
											It really goes in a straight line.
											You were the one who was following a curving path,
											but, from your point of view,
											the ball appears to curve.
											We call this the coriolis effect.
											Oh, and you are riding on a speeding merry-go-round
											right now at this very moment.
											We call it the Earth.
											The Earth spins on its axis once each day.
											But why does the Earth spin?
											Now, that's a story that starts billions of years ago.
											A cloud of dust and gas that form
											the Sun and the Earth and the planets
											and you and me
											started to collapse as gravity pulled it all together.
											Before it started to collapse,
											this cloud had a very gentle spin.
											And, as it collapsed,
											like that ice skater pulling her arms in,
											the spin got faster and faster.
											And everything that formed out of the cloud,
											the Sun
											and the planets around the Sun
											and the moons around the planets,
											all inherited this spin.
											And this inherited spin is what gives us night and day.
											And this day-night cycle is what drives our weather.
											The Earth is warm on the daytime side,
											cool on the nighttime side,
											and it's warmer at the equator than at the poles.
											The differences in temperature
											make differences in air pressure,
											and the differences in air pressure
											make air move.
											They make the wind blow.
											But, because the Earth spins,
											the moving air curves to the right
											in the Northern Hemisphere
											because of the coriolis effect.
											If there's a region of low pressure in the atmosphere,
											air is pushed toward it,
											like water going down a drain.
											But the air curves to the right as it goes,
											and this gives it a spin.
											With the dramatic low pressure in a storm,
											the air gets pulled in tighter and tighter,
											so it gets going faster and faster,
											and this is how we get the high winds of a hurricane.
											So, when you see a spinning storm on a weather report,
											think about this:
											The spin ultimately came from the spin of the Earth,
											and the Earth's spin is a remnant,
											a fossil relic,
											of the gentle spin of the cloud of dust and gas
											that collapsed to make the Earth
											some five billion years ago.
											You are watching something, the spin,
											that is older than dirt,
											that's older than rocks,
											that's older than the Earth itself.
									","
											La próxima vez que veas 
las noticias de un huracán
											o de una tormenta tropical
											mostrando vientos fuertes 
azotando árboles y casas,
											pregúntate, ""¿Por qué 
el viento sopla tan rápido?
											Resulta sorprendente que éste 
sea un movimiento que empezó
											hace más de 5 000
millones de años.
											Pero para entender el porqué, 
necesitamos entender la rotación.
											En la física, hablamos de 
dos tipos de movimientos
											El primero es el movimiento 
en línea recta.
											Empujas algo y 
se mueve hacia adelante.
											El segundo tipo, la rotación, 
involucra un objeto rotatorio
											o que rote sobre su propio eje.
											Un objeto en movimiento de 
línea recta siempre se moverá
											a menos que algo,
											como la fricción del suelo bajo él,
											puede desacelerarlo o detenerlo.
											Lo mismo ocurre cuando 
se pone algo a girar.
											Se mantendrá girando 
hasta que algo lo detenga.
											Pero la rotación puede acelerarse.
											Si una patinadora de hielo 
se desliza por el hielo
											en movimiento de línea 
recta y empuja sus brazos
											se mantiene deslizándose 
a la misma velocidad.
											Pero si gira en el hielo,
											y si recoge sus brazos,
											ya sabes lo que pasará.
											Girará más rápido.
											Esto se llama conservación
del momento angular.
											En matemáticas, el momento angular 
es el producto de dos cifras,
											una que da la tasa del movimiento de rotación
											y la otra es la distancia 
de la masa al eje.
											Si algo está girando libremente,
											conforme una cifra se hace grande,
											la otra se hace más pequeña.
											Con los brazos juntos, 
la rotación es más rápida.
											Con los brazos abiertos, 
la rotación se reduce.
											La rotación también causa otros efectos.
											Si estás montado en un tiovivo
											y lanzas una pelota 
a un amigo
											parecerá que sigue 
una trayectoria curva
											aunque en realidad no se curve,
											en realidad se mueve 
en línea recta.
											Tú eras quien seguía una trayectoria curva,
											pero, desde tu punto de vista,
											la pelota parece hacer una curva
											A esto le llamamos 
el efecto Coriolis.
											¡Ah! Además justo estás 
montado en un tiovivo
											en este preciso momento.
											Le llamamos Tierra.
											La Tierra gira alrededor 
de su eje una vez al día.
											Pero ¿por qué gira la Tierra?
											Esa es una historia que comenzó 
hace miles de millones de años
											Una nube de polvo y gas que formó
											el Sol y la Tierra 
y los planetas
											y a ti y a mí,
											comenzó a colapsar conforme 
la fuerza de gravedad unía todo.
											Antes de que empezara a colapsar,
											esta nube tenía 
una rotación muy leve.
											Conforme se fue colapsando,
											como la patinadora 
que recoge sus brazos
											la rotación se hizo más y más rápida.
											Y todo lo que salió de la nube,
											el Sol
											y los planetas alrededor del Sol,
											y las lunas alrededor de los planetas,
											todos heredaron esta rotación.
											Y esta rotación heredada es 
lo que hace la noche y el día.
											Y este ciclo de día - noche es 
lo que mueve a nuestro clima.
											La Tierra es caliente durante el día
											y fresca durante la noche,
											y es más caliente en 
el ecuador que en los polos.
											Las diferencias de temperatura
											marcan diferencias en la presión del aire
											y las diferencias en 
la presión de aire
											hacen que el aire se mueva.
											Hacen que el viento sople.
											Pero como la Tierra gira,
											el aire en movimiento 
se curva hacia a la derecha
											en el hemisferio norte
											debido al efecto Coriolis.
											Si hay una región de baja 
presión en la atmósfera,
											el aire es empujado hacia allí,
											como el agua que 
se va por el desagüe.
											Pero el aire se curva en su avance
											y esto le da un efecto de rotación.
											Con la baja presión drástica de una tormenta,
											el aire se compacta más y más
											lo que hace que vaya 
más y más rápido
											y es así como tenemos 
los fuertes vientos de un huracán.
											Cuando veas una tormenta 
en un reportaje del clima,
											piensa en esto:
											A fin de cuentas la rotación
proviene de la rotación de la Tierra,
											y la rotación de la Tierra 
es una reliquia
											remanente, fósil
											de la suave rotación de 
la nube de polvo y gas
											que se colapsó 
para formar la Tierra
											hace unos 5 000 millones de años.
											Estás viendo algo, la rotación,
											que es más viejo que el polvo,
											más viejo que las rocas,
											y más vieja que 
la Tierra misma.
									",What on Earth is spin?,Brian Jones,3:41,"TED-Ed,space,animation,universe,physics,Planets,science"
"
","
","
",What on Earth is spin?,Brian Jones,3:41,"TED-Ed,space,animation,universe,physics,Planets,science"
